orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
hco3[c],hco3,MNXM1094693,MNXM1094693[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
hco3[e],hco3,MNXM1094693,MNXM1094693[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
na1[e],na1,MNXM27,MNXM27[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
na1[c],na1,MNXM27,MNXM27[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
o2[c],o2,MNXM735437,MNXM735437[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
o2[p],o2,MNXM735437,MNXM735437[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
o2[e],o2,MNXM735437,MNXM735437[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
10fthf[c],10fthf,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
12ppd__S[c],12ppd__S,MNXM1255,MNXM1255[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
13dpg[c],13dpg,MNXM733153,MNXM733153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1ddecg3p[c],1ddecg3p,MNXM4232,MNXM4232[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
1hdec9eg3p[c],1hdec9eg3p,MNXM91047,MNXM91047[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1hdecg3p[c],1hdecg3p,MNXM90586,MNXM90586[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1odec11eg3p[c],1odec11eg3p,MNXM91049,MNXM91049[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
